Property.Address.Longitude,Property.Address.Latitude,Price,SizeInternal,Price/SizeInternal_frozen,Building.BathroomTotal,Building.Bedrooms,Building.StoriesTotal,Building.Type,Property.Price,Property.Type,Property.Address.AddressText,Property.Parking[0].Name,Property.ParkingSpaceTotal,Property.TypeId,Property.ZoningType,Property.AmmenitiesNearBy,Property.ParkingType,PostalCode,Building.SizeExterior,Property.Parking[1].Name,Property.OwnershipType,Property.Parking[2].Name,Building.UnitTotal
-73.60632033,45.45069997,585185,1573,372,2,3,16,Apartment,"$585,185 +  GST +  QST",Single Family,"6780 Boul. Newman|#310|Montréal (LaSalle), Quebec H8N2S3",Garage,1,300,Residential,,Garage,H8N2S3,,,Condominium/Strata,,
-73.5992,45.430913,700000,1888,370,2,4,2,Duplex,"$700,000",Single Family,"194-196 5e Avenue|Montréal (LaSalle), Quebec H8P2K4",Other,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit",Other,H8P2K4,,,,,2
-73.66992717,45.51919779,439900,1194.7929,368,2,3,17,Apartment,"$439,900",Single Family,"730 Boul. Montpellier|#1704|Montréal (Saint-Laurent), Quebec H4L5B3",Garage,1,300,Residential,"Schools, Public Transit",Garage,H4L5B3,,,Condominium/Strata,,
-73.609361,45.433158,459000,1249,367,2,3,2,Apartment,"$459,000",Single Family,"7604 Rue Bouvier|Montréal (LaSalle), Quebec H8N2S5",Garage,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit","Garage, Integrated Garage",H8N2S5,,Integrated Garage,Condominium/Strata,,
-73.671506,45.43468,319000,877,363,2,3,3,Apartment,"$319,000 +  GST +  QST",Single Family,"875 Rue Notre-Dame|#I|Montréal (Lachine), Quebec H8S2B8",,,300,Residential/Commercial,"Highway, Hospital, Park, Schools, Public Transit",,H8S2B8,,,Condominium/Strata,,
-73.66395439,45.43523083,496900,1372,362,2,3,10,Apartment,"$496,900 +  GST +  QST",Single Family,"303 Boul. St-Joseph|#506|Montréal (Lachine), Quebec H8S2K9",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit",,H8S2K9,,,Condominium/Strata,,
-73.546387,45.544765,450000,1250,360,2,3,3,Apartment,"$450,000 +  GST +  QST",Single Family,"2061 Rue Aylwin|Montréal (Mercier/Hochelaga-Maisonneuve), Quebec H1W3C4",,,300,Residential,"Highway, CEGEP, Park, Schools, Public Transit",,H1W3C4,,,Undivided Co-ownership,,
-73.630397,45.464366,369000,1029,358,2,4,3,Apartment,"$369,000",Single Family,"3911 Boul. Cavendish|#1|Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quebec H4B2N4",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",,H4B2N4,,,Undivided Co-ownership,,
-73.699894,45.524262,490000,1367.0153,358,2,4,2,House,"$490,000",Single Family,"2305 Rue Stanislas|Montréal (Saint-Laurent), Quebec H4L3B6",Carport,3,300,Residential,,"Carport, Other",H4L3B6,,Other,,,
-73.749714,45.52574,549000,1533,358,2,3,15,Apartment,"$549,000",Single Family,"4300 Place des Cageux|#1204|Laval (Chomedey), Quebec H7W4Z3",Garage,2,300,Residential,"Highway, Golf Course, Hospital, Park, Schools, Public Transit",Garage,H7W4Z3,,,Condominium/Strata,,
-73.649287,45.423537,555000,1550.0016,358,2,3,2,House,"$555,000",Single Family,"117 Rue Hayward|Montréal (LaSalle), Quebec H8R2G6",Other,3,300,,"Highway, CEGEP, Golf Course, Hospital, Park, Schools, Ski hill, Public Transit","Other, Garage",H8R2G6,,Garage,,,
-73.66399301,45.43523986,489900,1372,357,2,3,10,Apartment,"$489,900 +  GST +  QST",Single Family,"303 Boul. St-Joseph|#406|Montréal (Lachine), Quebec H8S2K9",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit",,H8S2K9,,,Condominium/Strata,,
-73.66411317,45.43517963,498900,1398,356,2,3,10,Apartment,"$498,900 +  GST +  QST",Single Family,"303 Boul. St-Joseph|#302|Montréal (Lachine), Quebec H8S2K9",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit",,H8S2K9,,,Condominium/Strata,,
-73.59675823,45.46205651,415000,1163,356,2,3,3,Apartment,"$415,000 +  GST +  QST",Single Family,"5655 Rue Briand|Montréal (Le Sud-Ouest), Quebec H3E3G8",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",,H3E3G8,,,Condominium/Strata,,
-73.6796101,45.52926526,390000,1097.9178,355,2,3,10,Apartment,"$390,000",Single Family,"385 Boul. Deguire|#405|Montréal (Saint-Laurent), Quebec H4N0A7",Garage,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit, University",Garage,H4N0A7,,,Condominium/Strata,,
-73.66423334,45.43517963,491900,1398,351,2,3,10,Apartment,"$491,900 +  GST +  QST",Single Family,"303 Boul. St-Joseph|#202|Montréal (Lachine), Quebec H8S2K9",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit",,H8S2K9,,,Condominium/Strata,,
-73.671506,45.43468,549000,1570,349,2,4,3,Apartment,"$549,000 +  GST +  QST",Single Family,"875 Rue Notre-Dame|#D|Montréal (Lachine), Quebec H8S2B8",,,300,Residential/Commercial,"Highway, Hospital, Park, Schools, Public Transit",,H8S2B8,,,Condominium/Strata,,
-73.749714,45.52574,439900,1259.3763,349,2,3,16,Apartment,"$439,900",Single Family,"4300 Place des Cageux|#1101|Laval (Chomedey), Quebec H7W4Z3",Garage,2,300,Residential,"Highway, CEGEP, Park, Schools, Public Transit, University",Garage,H7W4Z3,,,Condominium/Strata,,
-73.60621625,45.44955449,496293,1423,348,2,3,10,Apartment,"$496,293 +  GST +  QST",Single Family,"1700 Rue Viola-Desmond|#214|Montréal (LaSalle), Quebec H8N0C8",Garage,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit","Garage, Integrated Garage",H8N0C8,,Integrated Garage,Condominium/Strata,,
-73.502983,45.520852,418347,1200,348,2,3,2,House,"$418,347 +  GST +  QST",Single Family,"1021Z Rue St-Georges (Longueuil)|Longueuil (Le Vieux-Longueuil), Quebec J4K3Z4",Other,1,300,Residential,"Highway, CEGEP, Park, Schools, Public Transit, University",Other,J4K3Z4,,,,,
-73.53676328,45.4651454,479000,1388,345,2,3,14,Apartment,"$479,000",Single Family,"30 Rue Berlioz|#1109|Montréal (Verdun/Île-des-Soeurs), Quebec H3E1L3",Garage,1,300,Residential,"Highway, Golf Course, Park, Schools, Public Transit","Garage, Integrated Garage",H3E1L3,,Integrated Garage,Condominium/Strata,,
-73.55021498,45.52828635,649900,1889.87,343,2,3,3,Apartment,"$649,900",Single Family,"1603 Rue Fullum|Montréal (Ville-Marie), Quebec H2K3M5",,,300,Residential,"Highway, Park, Schools, Public Transit",,H2K3M5,3467 sqft,,Undivided Co-ownership,,
-73.798177,45.538802,449000,1309.97,342,2,3,4,Apartment,"$449,000",Single Family,"991 Mtée Champagne|#404|Laval (Sainte-Dorothée), Quebec H7X0C2",Integrated Garage,2,300,Residential,"Highway, CEGEP, Golf Course, Park, Schools, Public Transit","Integrated Garage, Garage",H7X0C2,,Garage,Condominium/Strata,,
-73.70177098,45.49981244,484500,1420,341,2,3,12,Apartment,"$484,500",Single Family,"11015 Boul. Cavendish|#310|Montréal (Saint-Laurent), Quebec H4R2H5",Garage,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit","Garage, Integrated Garage",H4R2H5,,Integrated Garage,Condominium/Strata,,
-73.53367285,45.38742199,462650,1358,340,2,3,7,Apartment,"$462,650 +  GST +  QST",Single Family,"64 Ch. St-François-Xavier|#712|Candiac, Quebec J5R5V4",Garage,1,300,Residential,"Highway, Golf Course, Hospital, Park, Schools, Public Transit",Garage,J5R5V4,,,Condominium/Strata,,
-73.53713652,45.46537811,479000,1413,338,2,3,14,Apartment,"$479,000",Single Family,"30 Rue Berlioz|#505|Montréal (Verdun/Île-des-Soeurs), Quebec H3E1L3",Garage,2,300,Residential,"Highway, Golf Course, Park, Schools, Public Transit","Garage, Integrated Garage, Other",H3E1L3,,Integrated Garage,Condominium/Strata,Other,
-73.53690748,45.46524004,469000,1390,337,2,3,14,Apartment,"$469,000",Single Family,"30 Rue Berlioz|#511|Montréal (Verdun/Île-des-Soeurs), Quebec H3E1L3",Integrated Garage,1,300,Residential,"Highway, Golf Course, Park, Schools, Public Transit","Integrated Garage, Garage",H3E1L3,,Garage,Condominium/Strata,,
-73.665644,45.430631,558000,1656,336,2,3,3,Apartment,"$558,000 +  GST +  QST",Single Family,"240 Rue Lyette|#201|Montréal (LaSalle), Quebec H8R3T5",Garage,1,300,Residential,,Garage,H8R3T5,,,Condominium/Strata,,
